OBJECTID,OBJECTID_MODE,Mode,FacilityID_Mode,X,Y,Target break,8_Total_Pat,9_Bus_patronage,10_PropComm,11_Balance,12_LUEntropy,13_PedConnect,14_PBN,15_Parkiteer,16_ACDist,17_ACCount,18_FTZ,19_Parking,20_PropUrban,21_PropRural,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_MedInc,29_PropOS,30_PropBach,31_LocalAccess_800,32_EmpDen_800,33_ResidentialDen_800,34_censored_PropFTE,35_censored_MeanSize,EmpDen_surrogate,Population_surrogate,DestScore_surrogate
272,272-tram,tram,613-tram,322534.0054,5814577.46,600,741.0486917,151,0.531490527,0.209483489,0.47778665,148,0.160759327,0,0.481421587,2,0,0,7558.321238,0,301205.8924,60.92307692,34,0,0,60.92307692,800,0.058442917,0.640313906,1.24,0.582,2.52481308,0.647506566,2.300815653,9556.903695,7558.321238,5
275,275-tram,tram,615-tram,320196.5292,5814611.525,600,692.433848,52.4,0.269357591,0.040895145,0.578951206,122,0.319999951,0,0.853366703,0,0,0,6122.684458,0,418506.4002,79.69230769,18.92307692,39.76923077,0,119.4615385,1,0.040126656,0.670619404,1.21,-0.0541,2.189236525,0.48854298,2.757281298,6796.996531,6122.684458,7
281,281-tram,tram,618-tram,314854.9878,5814648.039,600,36.67970801,23.5,0.400154302,0.08507185,0.612060936,176,0,0,0.402783097,1,0,0,4780.687876,0,224167.0904,19.38461538,72.53846154,19.69230769,0,39.07692308,300,0.051248652,0.512929238,3.21,0.014,-0.407241603,0.501733338,2.480856865,2836.094305,4780.687876,7
279,279-tram,tram,621-tram,314821.0361,5814719.995,600,36.67970801,23.5,0.353338924,0.087180871,0.619813496,172,0,0,0.481418126,1,0,0,4659.898806,0,197531.2483,19.69230769,72.53846154,19.38461538,0,39.07692308,300,0.052368203,0.517784359,3.16,-0.0152,-0.302648924,0.504447116,2.460052673,2836.094308,4659.898806,7
282,282-tram,tram,619-tram,322021.5109,5814633.499,600,658.4282941,168.1,0.420879534,0.169305233,0.482932478,162,0.319989305,0,0.005768657,1,0,0,8225.411162,0,357442.6605,59.07692308,34,0,0,59.07692308,650,0.067881081,0.630610685,1.83,0.384,2.727282219,0.647506566,2.424430021,9857.469671,8225.411162,7
2229,2229-tram,tram,617-tram,328349.0114,5814640.449,600,177.5083273,263.4,0.05282618,0.032349674,0.447517853,72,0.836277991,0,1.895878876,0,0,0,3076.799748,0,66429.76464,52,47.30769231,0,0,52,650,0.023612176,0.656164033,0.738,-0.253,0.074196032,0.566290105,2.682296264,869.6206501,3076.799748,4
274,274-tram,tram,614-tram,321699.9551,5814614.047,600,329.915048,77.5,0.274411315,0.149480253,0.555203351,169,0.1469435,0,0.318467702,1,0,0,7344.995292,0,366067.0883,31.46153846,34.23076923,32.30769231,0,63.76923077,650,0.060415913,0.650172682,1.75,0.406,2.435353434,0.639010312,2.429157397,9402.818004,7344.995292,7
277,277-tram,tram,622-tram,321708.0116,5814726.017,600,329.915048,77.5,0.274674137,0.138433288,0.53775706,176,0.151827686,0,0.321888866,1,0,0,7689.762456,0,366067.0883,32.30769231,34.23076923,31.46153846,0,63.76923077,650,0.060528477,0.649927456,1.86,0.318,2.411889634,0.638896046,2.440068478,9114.136517,7689.762456,7
273,273-tram,tram,624-tram,321042.5168,5814755.976,600,484.8551933,280.4,0.231967935,0.05783049,0.547875811,161,0.319403016,0,0.412151375,1,0,0,9812.572556,0,375800.5369,106.8461538,34.15384615,0,0,106.8461538,100,0.077224482,0.627633096,0.88,-0.46,4.267588125,0.48854298,2.494034787,8120.053132,9812.572556,7
263,263-tram,tram,630-tram,314706.4977,5814871.017,600,73.35941602,152.5,0.234005169,0.09130599,0.604553068,140,0,0,0.670645263,0,0,0,4439.7736,0,124937.2041,39.07692308,72.46153846,0,0,39.07692308,300,0.055641228,0.520840964,2.32,-0.155,0.386596361,0.509019253,2.415610206,2836.09431,4439.7736,6
2215,2215-tram,tram,631-tram,320215.4977,5814898.479,600,692.433848,11.8,0.028825124,0.033486674,0.557775793,102,0.319976075,0,0.96589321,0,0,0,2923.172194,0,400331.1337,79.69230769,17.92307692,0,0,79.69230769,100,0.032932057,0.668645116,1.45,0.684,-0.388699863,0.48854298,3.526242571,6881.201855,2923.172194,5
2204,2204-tram,tram,639-tram,314528.0073,5815123.016,600,73.35941602,38,0.086801408,0.086031632,0.531949831,108,0,0,0.979424411,0,0,0,4724.980499,0,126871.6911,39.15384615,103.2307692,0,0,39.15384615,150,0.075406839,0.502813986,1.64,-0.174,0.646826735,0.48854298,2.478275883,2836.09196,4724.980499,6
2201,2201-tram,tram,640-tram,322072.957,5815159.003,600,329.2141471,13.2,0.318410474,0.148201373,0.582415845,145,0.319748109,0,0.524252102,1,0,0,5687.786058,0,283142.6459,29.07692308,4,30,0,59.07692308,800,0.034155658,0.683651293,1.88,0.0318,1.564332185,0.647506566,2.394526214,5632.730094,5687.786058,7
245,245-tram,tram,644-tram,322094.9696,5815236.969,600,161.0810098,13.2,0.25554138,0.134208915,0.597911913,144,0.319708373,0,0.604262313,1,0,0,5481.233636,0,356075.7872,30,4,29.07692308,0,59.07692308,800,0.03518822,0.685899556,1.95,-0.0234,1.354022452,0.647506566,2.405928544,4836.827834,5481.233636,7
247,247-tram,tram,642-tram,321762.9761,5815198.034,600,329.915048,7.5,0.176096221,0.090000626,0.488974102,146,0,0,0.615461275,0,0,0,7525.578657,0,382199.823,32.15384615,4,31.30769231,0,63.46153846,650,0.067322429,0.657058289,1.55,-0.427,2.800828448,0.611468635,2.513445747,5271.651959,7525.578657,7
240,240-tram,tram,647-tram,321772.973,5815248.985,600,329.915048,7.5,0.156753967,0.085459716,0.485359353,137,0,0,0.658407059,0,0,0,7283.508587,0,371603.0356,31.30769231,4,32.15384615,0,63.46153846,650,0.065068492,0.659906558,1.5,-0.49,2.800808638,0.613764379,2.502369633,4799.367181,7283.508587,7
