,Factor1,Factor2,Factor3
8206-bus,2.08,-0.17,-0.71
9348-bus,0.53,-0.40,0.51
8247-bus,-1.07,0.44,-0.34
7976-bus,0.54,-0.54,1.03
6787-bus,0.62,-0.45,0.50
8197-bus,2.00,-0.13,-0.79
8253-bus,0.23,0.02,-0.46
5916-bus,0.52,-0.26,0.27
9755-bus,1.50,-0.14,-0.16
894-tram,1.56,0.39,-1.27
6927-bus,0.96,-0.44,0.34
8024-bus,0.53,-0.51,0.97
11004-bus,-0.24,-0.17,0.34
9208-bus,0.79,-0.18,-0.45
745-tram,1.72,-0.41,0.33
10815-bus,1.10,0.36,-0.96
486-train,0.85,-0.02,-0.95
12450-bus,1.30,-0.44,1.78
12333-bus,0.88,-0.56,2.73
7786-bus,0.77,0.09,-0.56
7169-bus,1.76,-0.32,-0.17
3797-bus,1.47,0.31,-1.12
8211-bus,0.24,-0.04,-0.34
9457-bus,-0.05,0.03,-0.25
9058-bus,0.99,-0.24,-0.09
903-tram,0.55,0.15,-0.23
7849-bus,0.80,-0.49,0.82
9554-bus,0.63,-0.19,0.02
8257-bus,0.66,-0.24,-0.15
6531-bus,1.05,-0.43,0.19
955-tram,1.51,0.03,-0.32
6507-bus,1.85,-0.36,-0.30
9906-bus,1.41,-0.12,-0.53
7701-bus,0.74,-0.25,0.64
8951-bus,0.38,-0.36,0.34
7163-bus,1.57,-0.40,0.04
7229-bus,0.54,-0.08,0.00
5740-bus,0.25,0.05,-0.77
7099-bus,0.96,0.16,-0.19
7698-bus,0.66,-0.08,0.23
7623-bus,0.42,-0.54,0.77
7595-bus,0.56,-0.52,0.69
11193-bus,0.41,-0.21,0.10
7709-bus,1.11,0.23,-0.87
7998-bus,-0.45,0.30,-0.54
8175-bus,-0.06,0.18,-0.06
4954-bus,-0.11,-0.11,-0.25
8616-bus,-0.06,-0.25,0.21
9566-bus,0.35,-0.21,0.12
9502-bus,0.29,-0.18,0.02
11837-bus,0.74,0.08,-0.37
981-tram,1.54,0.33,-1.34
12038-bus,1.46,-0.39,0.74
5398-bus,2.05,0.37,-1.98
11264-bus,1.64,0.18,-1.45
8093-bus,1.07,-0.42,0.56
8982-bus,0.52,-0.17,-0.39
6541-bus,0.81,-0.35,0.05
9306-bus,0.34,-0.44,0.88
8011-bus,0.27,-0.63,1.41
480-train,0.02,0.25,-1.25
2897-bus,0.47,0.34,-0.86
9189-bus,0.58,-0.50,0.97
6770-bus,1.40,-0.02,-0.57
667-tram,0.65,-0.34,0.19
9840-bus,0.36,0.25,-0.87
9856-bus,0.12,0.20,-0.62
664-tram,0.49,-0.36,0.29
8712-bus,0.79,-0.13,0.22
8908-bus,0.89,-0.11,0.18
2899-bus,-0.88,0.30,-0.21
10749-bus,-0.21,-0.05,-0.02
5409-bus,0.54,-0.39,0.32
454-train,0.09,-0.42,0.53
460-train,0.33,-0.40,0.44
694-tram,1.95,-0.22,-0.33
7664-bus,1.25,0.42,-1.24
11645-bus,1.18,0.11,-0.43
9173-bus,0.61,-0.43,0.74
685-tram,1.54,-0.18,-0.27
946-tram,1.19,0.11,-0.43
8507-bus,-0.93,0.14,0.03
7035-bus,0.88,-0.06,0.16
8481-bus,0.01,-0.08,-0.42
8446-bus,-0.12,-0.16,-0.12
8326-bus,-0.13,-0.29,0.28
11112-bus,0.10,-0.25,0.32
7735-bus,0.41,-0.10,-0.27
8429-bus,-0.89,0.11,0.29
451-train,0.57,-0.26,-0.19
7427-bus,-0.36,0.09,-0.64
8404-bus,-0.12,-0.25,0.15
9786-bus,0.93,-0.11,-0.35
7097-bus,0.60,-0.32,0.28
9855-bus,-0.02,0.20,-0.65
7573-bus,-0.36,0.06,-0.53
11507-bus,1.17,0.01,-0.56
739-tram,1.15,-0.45,0.66
8289-bus,0.18,0.27,-0.30
9627-bus,0.27,-0.65,1.49
7552-bus,-0.36,0.03,-0.43
7657-bus,-0.26,-0.02,-0.31
9373-bus,-0.13,-0.15,0.18
7624-bus,-0.38,-0.12,0.37
8214-bus,0.24,-0.11,-0.15
8313-bus,-0.37,0.13,-0.02
7062-bus,0.94,0.07,-0.14
7276-bus,0.36,-0.32,0.48
8133-bus,0.90,-0.06,-0.14
6975-bus,0.97,-0.14,0.11
8334-bus,-0.37,0.03,0.20
736-tram,1.26,-0.48,0.70
8025-bus,0.02,0.28,-0.63
666-tram,1.66,-0.06,-0.88
3556-bus,1.49,0.02,-1.23
7117-bus,1.25,0.33,-0.80
6155-bus,2.04,0.16,-1.53
9559-bus,0.73,-0.05,-0.39
9595-bus,0.11,-0.57,1.36
11648-bus,0.87,-0.13,-0.33
10791-bus,0.84,0.30,-0.70
668-tram,1.81,-0.12,-0.77
7249-bus,1.19,0.43,-0.89
3573-bus,1.68,0.04,-1.35
9482-bus,-0.02,-0.18,0.25
3586-bus,1.95,0.06,-1.50
7699-bus,-0.10,-0.18,0.35
8331-bus,-0.29,0.04,0.07
6323-bus,-0.01,-0.37,0.80
1055-tram,1.66,-0.15,0.48
7787-bus,1.20,-0.15,-0.22
6390-bus,0.85,-0.19,-0.34
3615-bus,1.84,0.10,-1.59
11642-bus,0.53,-0.14,-0.16
10234-bus,-0.38,0.00,-0.02
10121-bus,-0.21,0.03,-0.15
3598-bus,1.80,0.09,-1.53
9747-bus,0.97,0.02,-0.59
5558-bus,1.06,0.00,-0.85
671-tram,1.27,-0.21,-0.40
10228-bus,0.91,0.12,-0.62
7814-bus,0.87,-0.21,0.06
669-tram,1.86,-0.15,-0.75
8378-bus,-0.47,0.02,0.01
661-tram,0.39,-0.32,0.23
11873-bus,0.51,-1.11,4.35
9105-bus,1.11,-0.28,0.99
8423-bus,0.06,-0.01,-0.20
5518-bus,0.82,0.07,-0.96
11627-bus,0.23,-0.13,-0.06
5864-bus,1.46,-0.18,-0.56
11636-bus,1.01,0.06,-0.51
9117-bus,1.18,-0.24,0.96
9387-bus,0.48,-0.31,0.33
3618-bus,2.08,0.10,-1.64
7214-bus,0.03,-0.02,-0.17
9849-bus,1.06,0.05,-0.83
7687-bus,-0.16,-0.17,0.27
11390-bus,0.34,-0.06,-0.37
9709-bus,0.16,-0.58,1.39
6105-bus,0.67,-0.47,0.46
9443-bus,-0.48,-0.37,0.58
8354-bus,-0.67,0.07,0.43
9496-bus,0.13,-0.36,0.31
6948-bus,1.19,-0.18,0.13
8123-bus,1.17,-0.10,-0.36
8498-bus,0.06,-0.05,-0.07
6801-bus,1.56,-0.36,-0.16
7598-bus,1.68,0.05,-1.16
7695-bus,0.74,-0.37,1.00
9574-bus,0.85,-0.34,0.00
9272-bus,1.24,-0.26,0.78
740-tram,0.27,-0.32,0.56
10554-bus,0.78,-1.07,2.58
6139-bus,0.78,-0.11,-0.65
6768-bus,1.57,-0.33,-0.30
8871-bus,-0.04,0.16,-0.46
7128-bus,0.07,0.39,-1.15
8227-bus,1.13,-0.10,-0.26
7146-bus,0.17,0.39,-1.13
6150-bus,1.03,-0.11,-0.76
9758-bus,2.16,-0.12,-0.43
8450-bus,-0.58,0.39,-0.59
7173-bus,0.23,0.44,-1.29
7961-bus,0.82,-0.65,1.23
6128-bus,1.10,-0.18,-0.05
6068-bus,1.65,-0.12,-0.46
6116-bus,1.69,-0.10,-0.45
9893-bus,1.02,-0.65,1.25
521-train,-0.18,-0.28,0.23
9824-bus,0.33,-0.01,-0.26
6233-bus,0.08,-0.22,0.48
9071-bus,0.70,0.12,-1.12
7106-bus,0.70,0.37,-1.20
6848-bus,1.70,0.02,-0.40
7372-bus,0.85,-0.08,-0.14
10207-bus,0.64,-0.05,-0.48
9359-bus,-0.08,-0.32,0.27
682-tram,1.26,-0.21,-0.15
9949-bus,-0.29,0.18,-0.53
679-tram,1.16,-0.22,-0.11
7167-bus,-0.38,0.37,-1.49
9405-bus,0.74,-0.29,0.15
8622-bus,1.34,0.31,-1.24
4367-bus,-0.11,0.08,-0.94
6990-bus,1.45,0.40,-1.61
7109-bus,0.79,-0.33,0.23
7122-bus,0.99,-0.35,0.19
7660-bus,0.46,-0.12,-0.09
6901-bus,1.03,0.49,-1.66
6213-bus,1.21,-0.15,-0.71
6120-bus,1.32,-0.10,-0.87
7088-bus,0.54,0.38,-1.04
1248-tram,1.32,-0.13,-0.44
673-tram,0.36,-0.32,0.32
9826-bus,0.30,-0.11,0.14
9318-bus,0.69,-0.30,0.17
8601-bus,1.67,0.41,-1.56
10019-bus,-0.10,0.03,-0.20
10466-bus,-0.01,0.08,-0.23
8669-bus,-0.59,-0.18,0.59
10383-bus,0.28,0.03,-0.27
649-train,-0.01,-0.26,0.56
980-tram,1.78,0.28,-1.39
8851-bus,-0.11,0.25,-0.56
9957-bus,0.86,0.11,-0.55
7634-bus,1.13,0.50,-1.32
9796-bus,0.32,-0.11,0.33
9216-bus,0.73,-0.59,1.17
6108-bus,0.73,-0.25,-0.14
606-train,0.19,-0.10,-0.41
7238-bus,1.46,0.26,-0.52
672-tram,0.61,-0.24,-0.08
7390-bus,0.19,-0.32,0.32
897-tram,0.04,0.01,0.08
6219-bus,0.96,-0.19,-0.41
674-tram,0.63,-0.24,-0.10
6144-bus,0.67,-0.24,-0.15
10302-bus,0.86,0.13,-0.61
7348-bus,0.87,-0.43,0.49
7282-bus,0.97,-0.25,-0.06
8274-bus,0.53,-0.26,0.10
631-train,-0.03,-0.03,-0.41
4654-bus,0.25,0.01,-0.64
6485-bus,0.39,-0.10,-0.48
905-tram,0.64,0.18,-0.32
7479-bus,0.82,-0.12,-0.28
6336-bus,1.02,0.01,-0.99
677-tram,0.95,0.05,-1.06
1274-tram,0.98,-0.24,0.01
8631-bus,0.41,-0.25,0.46
7599-bus,0.82,0.53,-1.22
8589-bus,0.72,-0.07,-0.07
9403-bus,-0.18,-0.22,0.26
6291-bus,1.02,-0.02,-0.90
9640-bus,-0.44,0.53,-0.99
8061-bus,0.22,0.21,-0.42
665-tram,1.33,0.00,-0.93
6911-bus,0.42,0.10,-0.18
6872-bus,0.63,0.05,-0.08
6818-bus,0.59,0.03,0.01
1268-tram,1.09,-0.25,-0.02
9475-bus,0.56,-0.28,0.10
663-tram,1.16,0.12,-1.21
9696-bus,0.19,0.01,0.01
9741-bus,0.79,0.09,-0.46
1205-tram,1.11,-0.03,-0.55
9649-bus,-0.38,0.60,-1.19
7383-bus,0.22,-0.13,0.01
688-tram,1.16,-0.21,-0.04
711-tram,1.29,0.38,-1.49
702-tram,1.14,0.50,-1.71
7016-bus,0.04,0.11,0.03
9869-bus,0.83,-0.24,0.15
9460-bus,0.48,-0.13,-0.11
544-train,2.00,0.08,-1.56
6188-bus,1.22,-0.23,0.05
8569-bus,1.08,0.19,-0.81
8926-bus,0.39,-0.10,-0.38
7228-bus,1.08,0.10,0.09
9779-bus,0.94,0.13,-0.65
9543-bus,-0.52,0.62,-1.03
6707-bus,0.56,-0.02,0.20
693-tram,0.96,0.57,-1.83
8347-bus,1.25,-0.41,0.59
6995-bus,0.12,0.17,-0.35
9662-bus,0.34,0.00,-0.07
7498-bus,0.23,-0.43,0.53
3809-bus,0.62,0.37,-1.01
9718-bus,-0.15,-0.11,0.34
9905-bus,0.80,-0.29,0.46
11729-bus,1.12,-0.13,-0.38
8394-bus,0.83,-0.14,0.12
9328-bus,1.11,-0.18,-0.35
7775-bus,0.20,-0.19,0.25
7455-bus,1.02,-0.09,-0.46
6611-bus,0.10,-0.14,0.67
1280-tram,0.50,-0.20,0.07
9293-bus,0.65,-0.51,0.83
6595-bus,0.99,0.00,-0.85
9091-bus,1.00,-0.19,-0.46
9367-bus,0.18,-0.23,0.10
12398-bus,-0.01,-0.19,1.46
11606-bus,0.29,-0.10,-0.21
12612-bus,-0.58,-1.62,5.48
12684-bus,-0.35,-1.57,4.99
1062-tram,1.37,-0.22,-0.53
7306-bus,1.25,0.54,-1.24
8406-bus,0.89,-0.01,-0.31
9742-bus,0.12,-0.16,0.32
7387-bus,0.83,-0.39,0.24
9278-bus,1.25,-0.23,-0.26
9660-bus,0.93,-0.16,-0.19
6777-bus,0.83,-0.42,0.26
8271-bus,-0.37,0.00,0.55
9307-bus,0.94,-0.20,-0.27
6815-bus,0.79,-0.48,0.44
6733-bus,0.43,-0.44,0.44
691-tram,1.44,-0.70,1.29
8440-bus,0.88,-0.07,-0.11
662-tram,1.31,0.18,-1.49
11603-bus,0.38,-0.07,-0.38
7204-bus,0.95,-0.11,-0.34
6515-bus,0.36,-0.21,-0.18
1077-tram,1.60,-0.17,0.60
6987-bus,1.38,0.14,-1.16
8115-bus,0.78,-0.06,0.09
8757-bus,1.64,0.13,-0.97
8691-bus,1.79,0.25,-1.35
9642-bus,0.18,-0.47,0.92
6461-bus,0.10,-0.06,-0.42
7562-bus,0.79,0.23,-1.09
9556-bus,0.08,-0.49,0.75
7901-bus,1.28,-0.57,0.78
7823-bus,0.56,-0.08,-0.48
476-train,1.29,0.22,-1.75
9512-bus,0.14,-0.45,0.54
956-tram,1.53,0.31,-1.27
9467-bus,0.00,-0.41,0.50
1237-tram,-0.37,-0.08,0.31
12680-bus,0.38,-0.06,0.15
7890-bus,0.20,0.06,-0.09
9371-bus,0.10,-0.30,0.18
9419-bus,-0.21,-0.37,0.48
6809-bus,0.70,-0.49,0.50
1064-tram,1.07,-0.21,-0.44
9079-bus,0.95,-0.22,-0.37
11543-bus,-0.72,-0.13,0.09
7683-bus,0.99,-0.46,1.20
9281-bus,-0.02,-0.20,0.07
9146-bus,1.02,-0.31,0.20
10463-bus,-0.25,0.07,-0.09
6756-bus,1.08,0.09,-0.94
5783-bus,1.10,0.10,-1.27
6468-bus,0.55,-0.13,-0.42
710-tram,1.31,0.15,-1.14
6411-bus,0.64,0.05,-0.99
4-tram,-0.16,0.38,-1.10
6519-bus,0.87,-0.02,-0.80
6561-bus,0.88,-0.04,-0.71
9748-bus,0.19,-0.15,0.26
8916-bus,-0.13,0.40,-1.43
12619-bus,0.73,0.13,-0.34
7636-bus,0.29,0.32,-1.44
6179-bus,1.57,-0.14,-0.26
9871-bus,1.48,0.02,-0.04
12614-bus,0.65,0.18,-0.42
11672-bus,0.29,-0.06,-0.44
1257-tram,1.29,-0.19,-0.24
6868-bus,1.33,0.21,-1.35
8842-bus,0.04,0.27,-0.66
3-tram,-0.17,0.38,-1.10
5447-bus,2.37,0.34,-2.01
2929-bus,0.09,-0.20,0.21
6972-bus,1.47,-0.13,-0.06
1262-tram,1.28,-0.21,-0.18
9848-bus,-0.54,-0.78,2.25
6835-bus,1.35,-0.32,-0.02
5716-bus,1.43,-0.08,-0.75
7615-bus,0.57,0.31,-1.52
7257-bus,0.76,-0.14,0.02
3825-bus,1.30,0.26,-0.92
7447-bus,0.19,-0.34,0.49
6856-bus,0.85,-0.40,0.26
6891-bus,0.94,-0.34,0.25
7639-bus,0.58,0.27,-1.42
3843-bus,1.44,0.25,-0.92
9213-bus,-0.09,0.45,-0.31
7380-bus,0.76,0.56,-1.12
6700-bus,1.25,0.02,-0.88
5438-bus,1.89,0.27,-1.62
589-train,2.26,0.30,-1.85
475-train,0.36,-0.14,-0.39
6045-bus,0.81,0.04,-1.06
9432-bus,0.86,-0.28,0.15
6778-bus,0.54,-0.09,-0.55
3795-bus,1.45,0.26,-0.97
7938-bus,0.27,0.10,-0.31
8793-bus,1.16,0.11,-0.64
8785-bus,0.90,0.11,-0.54
9723-bus,1.88,-0.29,0.08
9781-bus,0.41,-0.10,0.03
12545-bus,0.41,0.18,-0.23
9603-bus,-0.45,0.71,-1.41
7889-bus,1.07,-0.52,0.74
1107-tram,0.74,-0.22,-0.08
9854-bus,0.38,-0.02,-0.21
951-tram,1.40,0.13,-0.77
9025-bus,-0.08,0.01,-0.06
8363-bus,-0.19,0.08,-0.40
7313-bus,1.01,-0.13,-0.30
12523-bus,-0.13,0.07,1.26
8295-bus,-0.21,0.25,-0.54
10509-bus,0.20,-0.26,0.74
12559-bus,0.84,0.31,-0.77
8650-bus,-0.19,0.05,-0.75
9720-bus,0.98,-0.15,-0.26
9791-bus,0.42,-0.04,-0.18
5980-bus,0.67,0.01,-0.94
8256-bus,0.36,-0.19,0.02
9252-bus,-0.32,0.51,-0.49
7703-bus,1.35,-0.49,0.28
7231-bus,1.16,0.16,-0.12
7692-bus,0.39,-0.46,0.59
11442-bus,-0.84,0.42,-1.11
6638-bus,-0.32,-0.15,0.89
11675-bus,0.92,0.13,-0.38
8578-bus,0.00,0.19,-1.22
8863-bus,0.85,-0.07,0.05
8420-bus,0.13,0.06,-0.53
9382-bus,-0.06,-0.28,0.23
8741-bus,-0.17,-0.18,0.45
7691-bus,1.09,-0.40,0.48
8204-bus,0.97,-0.13,0.16
9794-bus,0.40,-0.05,-0.12
479-train,1.16,-0.02,-1.00
6616-bus,1.53,-0.30,-0.36
8513-bus,0.13,0.03,-0.54
9223-bus,1.08,-0.21,-0.38
9816-bus,1.62,0.02,-0.98
7071-bus,1.45,0.01,-0.03
6475-bus,1.39,0.08,-1.35
5915-bus,1.29,-0.02,-1.08
3788-bus,0.48,-0.14,-0.35
11654-bus,1.18,0.18,-0.65
8194-bus,1.00,-0.09,-0.03
6766-bus,0.72,-0.30,0.00
7162-bus,1.42,-0.36,-0.08
9588-bus,0.21,0.72,-1.81
7319-bus,0.22,-0.18,0.17
1287-tram,0.91,-0.16,-0.27
9799-bus,-0.35,0.28,-0.80
3810-bus,1.60,0.30,-1.12
7682-bus,0.03,-0.45,0.73
10067-bus,0.96,-0.36,0.72
10590-bus,0.15,-0.79,1.92
10629-bus,0.29,-0.61,1.32
5911-bus,1.26,-0.09,-0.84
10150-bus,1.23,-0.36,0.61
1285-tram,-0.82,-0.39,1.38
10782-bus,0.29,-0.57,1.41
10458-bus,0.19,-0.95,2.41
7676-bus,0.02,-0.39,0.61
10596-bus,0.17,-0.99,2.55
977-tram,1.75,0.27,-1.36
10875-bus,0.06,-0.62,1.83
10248-bus,1.87,-0.34,0.34
10380-bus,0.34,-0.89,2.19
473-train,1.31,0.02,-0.89
6661-bus,1.08,0.02,-0.80
7330-bus,0.01,-0.20,0.32
7267-bus,0.88,-0.42,0.50
9392-bus,0.84,-0.16,-0.21
7841-bus,0.99,-0.27,0.15
8015-bus,0.55,-0.15,0.19
9398-bus,0.61,-0.21,-0.10
7072-bus,1.50,-0.05,-0.65
7912-bus,1.06,-0.20,-0.10
7925-bus,0.92,-0.24,0.13
7898-bus,0.83,-0.15,-0.16
10560-bus,0.43,-1.03,2.59
8084-bus,-0.21,-0.12,0.16
10767-bus,0.28,-1.07,2.78
6828-bus,1.24,0.16,-1.16
10225-bus,0.44,0.10,-0.52
9889-bus,0.27,-0.08,0.14
7887-bus,-0.30,-0.29,0.48
6757-bus,1.37,0.11,-1.11
7931-bus,0.98,-0.25,0.20
1022-tram,1.83,-0.24,0.52
986-tram,1.74,0.24,-1.00
1001-tram,1.62,0.01,-0.21
10138-bus,0.37,0.13,-0.58
8818-bus,1.16,0.05,-0.44
9900-bus,0.44,0.00,0.03
8823-bus,1.19,-0.06,-0.10
7876-bus,0.28,-0.46,0.87
8215-bus,0.91,-0.41,0.62
10308-bus,0.45,0.08,-0.44
8201-bus,1.42,-0.42,0.41
6879-bus,0.88,-0.37,0.36
6931-bus,0.89,-0.34,0.39
6804-bus,1.04,-0.38,0.10
551-train,0.49,-0.33,0.47
8280-bus,0.43,0.32,-0.57
8092-bus,0.50,-0.09,0.08
7303-bus,1.27,0.76,-2.21
7165-bus,0.06,-0.06,0.00
7883-bus,0.34,-0.56,1.15
8172-bus,0.51,0.29,-0.50
8645-bus,0.24,-0.08,-0.43
10362-bus,0.89,0.07,-0.61
7677-bus,1.09,-0.49,1.22
8555-bus,0.09,0.20,-0.69
7280-bus,0.28,0.06,-0.44
578-train,0.83,0.47,-1.54
7285-bus,0.13,-0.09,-0.07
7815-bus,0.28,-0.05,-0.34
9319-bus,-0.10,-0.12,0.08
9867-bus,1.82,0.02,-1.06
1098-tram,1.27,-0.17,-0.50
10410-bus,0.90,0.06,-0.59
7215-bus,-0.82,-0.72,1.77
5-bus,-0.93,0.50,-1.38
10770-bus,-0.01,0.10,-0.30
6731-bus,1.01,-0.01,-0.01
8241-bus,0.62,-0.25,0.03
8235-bus,0.64,-0.25,0.01
8344-bus,1.58,-0.25,0.11
8287-bus,1.31,-0.16,-0.11
733-tram,1.02,-0.47,0.76
8150-bus,0.79,0.16,-0.97
5390-bus,1.21,0.04,-0.88
8085-bus,0.63,0.22,-0.42
8156-bus,0.46,0.13,-0.80
9290-bus,0.53,-0.35,0.57
8804-bus,-0.05,-0.16,-0.16
7494-bus,1.07,-0.25,0.05
7384-bus,1.20,0.03,-0.43
7354-bus,1.20,0.09,-0.54
8128-bus,0.72,-0.14,-0.26
8236-bus,0.72,0.13,-0.76
11292-bus,0.96,-0.13,-0.35
6-bus,-1.30,0.16,-0.23
683-tram,0.50,-0.16,-0.28
9862-bus,1.01,0.22,-0.93
11009-bus,-0.19,0.00,-0.56
8834-bus,-0.37,-0.33,0.87
8996-bus,-0.02,-0.37,0.78
8380-bus,1.26,-0.19,0.08
6535-bus,0.66,0.05,-0.97
7995-bus,0.20,0.15,-0.15
9436-bus,1.13,-0.16,-0.37
8212-bus,2.22,-0.16,-0.78
8131-bus,1.90,-0.21,-0.53
6841-bus,1.00,-0.34,0.18
8055-bus,1.04,0.03,-0.40
712-tram,1.26,-0.81,1.66
8009-bus,0.56,-0.22,0.05
7653-bus,1.12,-0.34,0.37
10983-bus,0.61,-0.07,-0.17
6957-bus,0.86,-0.21,0.31
6672-bus,1.40,-0.34,-0.22
6738-bus,1.52,-0.35,-0.22
10924-bus,0.53,0.00,-0.71
727-tram,1.04,-0.58,1.05
5318-bus,1.33,-0.07,-0.60
6976-bus,0.99,-0.15,0.15
715-tram,1.19,-0.72,1.40
7679-bus,1.43,-0.40,0.33
706-tram,1.41,-0.81,1.62
792-tram,1.37,-0.32,0.23
728-tram,-0.05,-0.04,0.03
8107-bus,0.65,-0.03,-0.09
8495-bus,0.45,0.60,-1.40
7374-bus,1.03,-0.28,-0.06
10950-bus,1.10,0.01,-0.60
10599-bus,0.77,0.03,-0.45
690-tram,1.29,-0.21,-0.51
687-tram,1.24,-0.04,-1.00
7054-bus,1.94,0.09,-0.45
7852-bus,1.46,-0.26,-0.02
9830-bus,-0.04,-0.82,2.12
9150-bus,0.21,-0.21,0.25
1318-tram,-0.70,-0.17,0.68
10183-bus,-0.91,0.14,-0.03
7411-bus,0.01,-0.55,1.39
7420-bus,0.10,-0.53,1.33
7402-bus,0.16,-0.53,1.21
9602-bus,0.95,-0.08,-0.44
8960-bus,-0.16,-0.25,0.60
730-tram,1.14,-0.55,0.91
9672-bus,0.87,-0.03,-0.51
8106-bus,1.08,-0.01,-0.16
8957-bus,0.04,-0.28,0.57
9656-bus,0.87,-0.04,-0.48
9630-bus,1.00,-0.03,-0.52
7667-bus,1.01,0.06,-0.91
7575-bus,0.81,0.08,-0.83
7858-bus,1.16,-0.42,0.50
8948-bus,-0.06,-0.18,0.40
6648-bus,0.74,-0.41,0.24
7557-bus,0.90,0.03,-0.74
861-tram,1.05,-0.57,1.00
9841-bus,0.02,0.26,-0.84
9020-bus,0.31,-0.18,0.21
9792-bus,-0.14,0.29,-0.88
10908-bus,0.47,-1.12,3.07
9650-bus,0.90,-0.03,-0.48
7578-bus,0.65,-0.03,-0.20
470-train,2.10,0.02,-1.03
1517-tram,1.29,-0.11,-0.29
7125-bus,1.30,-0.26,-0.23
7081-bus,1.96,-0.02,-0.90
7339-bus,0.49,-0.13,0.06
7574-bus,0.83,0.22,-0.23
7434-bus,1.30,-0.46,0.65
1494-tram,1.30,-0.10,-0.30
11205-bus,0.89,-0.01,-0.79
1547-tram,0.74,-0.13,0.01
801-tram,1.43,-0.34,0.32
8494-bus,0.82,-0.18,0.21
958-tram,1.38,-0.05,-0.09
8690-bus,-0.25,0.59,-1.11
11016-bus,0.71,-0.08,-0.25
7643-bus,1.29,0.02,-0.85
10428-bus,0.48,-0.09,0.16
7465-bus,1.29,0.23,-0.36
6104-bus,1.16,-0.03,-0.63
7486-bus,0.83,0.28,-0.34
1443-tram,1.58,-0.08,-0.44
7482-bus,0.90,0.41,-0.73
7689-bus,0.80,0.05,-0.67
6961-bus,1.31,-0.17,0.01
10761-bus,1.06,-0.24,0.08
7497-bus,1.16,0.64,-1.53
9050-bus,0.12,-0.29,0.56
633-train,-0.34,0.05,-0.73
10365-bus,1.03,-0.01,-0.30
1425-tram,1.42,-0.07,-0.36
9032-bus,-0.09,-0.38,0.79
5489-bus,0.86,-0.02,-0.36
8018-bus,1.36,-0.21,-0.31
703-tram,1.43,-0.73,1.36
9038-bus,-0.03,-0.40,0.82
684-tram,0.46,-0.05,-0.58
6008-bus,1.28,-0.03,-0.69
6444-bus,1.21,0.00,-1.01
8820-bus,1.21,-0.09,-0.03
846-tram,1.10,-0.64,1.18
6420-bus,1.49,0.03,-1.22
9066-bus,0.66,-0.06,-0.53
695-tram,1.76,-0.33,-0.32
6786-bus,1.63,-0.35,-0.24
6831-bus,1.14,-0.33,0.07
698-tram,1.27,-0.31,0.01
696-tram,1.27,-0.32,0.01
550-train,0.24,-0.15,-0.21
10713-bus,0.16,-0.43,0.91
7652-bus,0.87,0.06,-0.53
701-tram,1.12,-0.27,0.12
8039-bus,0.97,-0.10,-0.37
7673-bus,0.42,-0.34,0.41
10287-bus,-0.90,0.07,0.17
7458-bus,1.21,0.13,-0.05
9834-bus,0.82,-0.12,-0.28
7777-bus,0.54,-0.01,-0.54
9870-bus,0.74,-0.13,-0.24
7918-bus,0.27,-0.15,-0.05
7727-bus,0.66,0.02,-0.68
7867-bus,0.27,-0.11,-0.16
9784-bus,0.99,-0.10,-0.39
10386-bus,-0.88,0.05,0.24
7985-bus,0.47,-0.20,-0.01
10665-bus,0.47,0.08,-0.39
5729-bus,0.74,0.13,-1.21
9845-bus,0.54,0.02,-0.43
7289-bus,0.35,-0.04,-0.66
9396-bus,0.77,-0.28,0.12
8799-bus,1.29,-0.10,0.00
10572-bus,0.13,0.03,-0.11
8047-bus,0.51,-0.20,-0.01
8441-bus,0.11,0.41,-0.88
7982-bus,1.00,-0.10,-0.43
7882-bus,0.98,-0.05,-0.49
7921-bus,1.03,-0.07,-0.49
676-tram,0.85,-0.27,0.09
10587-bus,-0.29,0.00,0.14
6758-bus,1.69,0.03,-0.71
1290-tram,1.03,-0.17,-0.32
7706-bus,0.61,0.23,-0.70
7428-bus,1.05,-0.03,-0.30
8157-bus,0.44,-0.05,-0.01
6803-bus,1.78,0.04,-0.61
7626-bus,0.33,0.19,-0.40
6743-bus,1.49,0.02,-0.36
1270-tram,0.04,-0.13,0.25
9727-bus,-0.62,0.16,-0.09
8598-bus,1.48,-0.20,-0.06
7396-bus,0.98,-0.40,0.22
780-tram,0.55,-0.45,0.58
771-tram,0.75,-0.44,0.43
759-tram,1.14,-0.40,0.15
758-tram,1.16,-0.39,0.13
744-tram,1.81,-0.35,-0.24
7440-bus,0.78,-0.51,0.86
8912-bus,0.94,0.05,-0.69
9896-bus,0.82,0.07,-0.73
6876-bus,0.74,-0.26,0.22
7456-bus,0.80,0.60,-1.25
9977-bus,-0.66,0.26,-0.45
9700-bus,-0.28,-0.02,0.19
722-tram,1.53,-0.48,0.23
6952-bus,0.71,-0.24,0.38
6925-bus,1.03,-0.21,0.16
10692-bus,0.16,-0.42,0.87
8651-bus,0.72,0.24,-1.13
8321-bus,0.91,-0.43,0.72
7566-bus,0.30,0.13,-0.24
9750-bus,0.80,-0.05,-0.24
8365-bus,1.46,-0.35,0.40
7491-bus,0.11,0.82,-1.86
8105-bus,1.19,-0.30,0.94
8885-bus,1.05,0.23,-1.26
8042-bus,1.12,-0.41,0.74
1446-tram,0.19,0.04,0.19
7861-bus,1.21,-0.25,0.02
